,name,studio,series,combo,link
0,Clover Honey,1995,,(1995),Clover Honey (1995)
0,rous Beasties,2017,,(2017),rous Beasties (2017)
0,Brothers Dracul,2018,,(2018),Brothers Dracul (2018)
0,The Dead Hand,2018,,(2018),The Dead Hand (2018)
0,Marvel Abarac,Marvel,,(Marvel),Marvel Abarac (Marvel)
0,Abilene,Marvel,,(Marvel),Abilene (Marvel)
0,Whirlwind,Marvel,Super Hero Squad,(Marvel)(Super Hero Squad),Whirlwind (Marvel)(Super Hero Squad)
0,Ball,Marvel,,(Marvel),Ball (Marvel)
0,14,Marvel,,(Marvel),14 (Marvel)
0,D,Marvel,Zombies,(Marvel)(Zombies),D (Marvel)(Zombies)
0,D Man,Marvel,,(Marvel),D Man (Marvel)
0,D Man,Marvel,,(Marvel),D Man (Marvel)
0,D Man,Marvel,Earth-9904 - 1950s Avengers,(Marvel)(Earth-9904 - 1950s Avengers),D Man (Marvel)(Earth-9904 - 1950s Avengers)
0,Ball,Marvel,,(Marvel),Ball (Marvel)
0,Ball,Marvel,01 - Jeff Hagees,(Marvel)(01 - Jeff Hagees),Ball (Marvel)(01 - Jeff Hagees)
0,Ball,Marvel,02 - Unknown,(Marvel)(02 - Unknown),Ball (Marvel)(02 - Unknown)
0,803,Marvel,,(Marvel),803 (Marvel)
0,Ball,Marvel,,(Marvel),Ball (Marvel)
0,Bomb,Marvel,,(Marvel),Bomb (Marvel)
0,Di,Marvel,,(Marvel),Di (Marvel)
0,Kane,Marvel,,(Marvel),Kane (Marvel)
0,Abadon,Marvel,,(Marvel),Abadon (Marvel)
0,Abdi,Marvel,,(Marvel),Abdi (Marvel)
0,Abel,Marvel,Secret Agent,(Marvel)(Secret Agent),Abel (Marvel)(Secret Agent)
0,Aberdeen Angus,Marvel,,(Marvel),Aberdeen Angus (Marvel)
0,Abira,Marvel,,(Marvel),Abira (Marvel)
0,Abominable Snowman,Marvel,,(Marvel),Abominable Snowman (Marvel)
0,Abomination,Marvel,,(Marvel),Abomination (Marvel)
0,Abomination,Marvel,Adventures,(Marvel)(Adventures),Abomination (Marvel)(Adventures)
0,Abomination,Marvel,Animated,(Marvel)(Animated),Abomination (Marvel)(Animated)
0,Abomination,Marvel,Earth-5692,(Marvel)(Earth-5692),Abomination (Marvel)(Earth-5692)
0,Abomination,Marvel,Earth-8545,(Marvel)(Earth-8545),Abomination (Marvel)(Earth-8545)
0,Abomination,Marvel,Future Imperfect,(Marvel)(Future Imperfect),Abomination (Marvel)(Future Imperfect)
0,Abomination,Marvel,Korvac Saga,(Marvel)(Korvac Saga),Abomination (Marvel)(Korvac Saga)
0,Abomination,Marvel,Morlock,(Marvel)(Morlock),Abomination (Marvel)(Morlock)
0,Abomination,Marvel,Movies,(Marvel)(Movies),Abomination (Marvel)(Movies)
0,Abomination,Marvel,Skrull impostor,(Marvel)(Skrull impostor),Abomination (Marvel)(Skrull impostor)
0,Abomination,Marvel,Super Hero Squad,(Marvel)(Super Hero Squad),Abomination (Marvel)(Super Hero Squad)
0,Abomination,Marvel,Ultimate,(Marvel)(Ultimate),Abomination (Marvel)(Ultimate)
0,Abomination,Marvel,Zombies,(Marvel)(Zombies),Abomination (Marvel)(Zombies)
0,Abraxas,Marvel,,(Marvel),Abraxas (Marvel)
0,Abraxas,Marvel,Guardians Of The Galaxy,(Marvel)(Guardians Of The Galaxy),Abraxas (Marvel)(Guardians Of The Galaxy)
0,Absalom,Marvel,,(Marvel),Absalom (Marvel)
0,Absorbing Man,Marvel,,(Marvel),Absorbing Man (Marvel)
0,Absorbing Man,Marvel,Adventures,(Marvel)(Adventures),Absorbing Man (Marvel)(Adventures)
0,Absorbing Man,Marvel,Age Of Apocalypse,(Marvel)(Age Of Apocalypse),Absorbing Man (Marvel)(Age Of Apocalypse)
0,Absorbing Man,Marvel,Earth 9997 - Earth X,(Marvel)(Earth 9997 - Earth X),Absorbing Man (Marvel)(Earth 9997 - Earth X)
0,Absorbing Man,Marvel,Earth-5692,(Marvel)(Earth-5692),Absorbing Man (Marvel)(Earth-5692)
0,Absorbing Man,Marvel,Earth-8545,(Marvel)(Earth-8545),Absorbing Man (Marvel)(Earth-8545)
0,Absorbing Man,Marvel,Last Gun on Earth,(Marvel)(Last Gun on Earth),Absorbing Man (Marvel)(Last Gun on Earth)
0,Absorbing Man,Marvel,Old Man Logan,(Marvel)(Old Man Logan),Absorbing Man (Marvel)(Old Man Logan)
0,Absorbing Man,Marvel,Super Hero Squad,(Marvel)(Super Hero Squad),Absorbing Man (Marvel)(Super Hero Squad)
0,Absorbing Man,Marvel,Zombies,(Marvel)(Zombies),Absorbing Man (Marvel)(Zombies)
0,Abstract,Marvel,Ultimate,(Marvel)(Ultimate),Abstract (Marvel)(Ultimate)
0,Abuya,Marvel,,(Marvel),Abuya (Marvel)
