,issue,title,arc,cover_date,href,artist,price,tagline,format,arc,characters,group
0,110,Freedom Is a Four Letter Word!,,August 1995,issue.php?ID=59323,Jae Lee,US $ 1.50,The Fury of Freedom Force!,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Avalanche (Marvel)(01 - Dominic Szilard) Blob (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Cyclops (Marvel)(03 - Scott Summers) Jessica Drew (Marvel) David Ishima Lindsay McCabe Sabrina  Morrell Nightcrawler (Marvel)(01 - Kurt Wagner) Phoenix (Marvel)(03 - Rachel Summers) 
 
 Madelyne 'Maddie' Pryor (01 - Jean Grey clone) Pyro (Marvel)(01 - St. John Allerdyce) Judith Rassendyll Rogue (Marvel)(01 - Anna Marie Raven) Amanda Sefton (Marvel) Shadowcat (Marvel) Spider-Woman (Marvel)(02 - Julia Carpenter) Spiral (Marvel) Storm (Marvel)(01 - Ororo Munroe) Nathan Christopher Charles Summers",x_men_1990
0,109,Wounded Wolf,,July 1995,issue.php?ID=59322,Jae Lee,US $ 1.50,None.,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Wade Cole (Marvel) Energizer (Marvel) Lady Deathstrike (Marvel) Angelo Macon (Marvel) 
 
 Katie Power (Marvel) Murray Reese (Marvel) Spiral (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,108,What Happened to Nightcrawler,,June 1995,issue.php?ID=59321,Jae Lee,US $ 1.50,None.,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Arcade (Marvel) Miss Locke (Marvel)(01 - original) Mister Chambers Nightcrawler (Marvel)(01 - Kurt Wagner) 
 
 Judith Rassendyll Rogue (Marvel)(01 - Anna Marie Raven) Amanda Sefton (Marvel)",x_men_1990
0,107,Crossroads,,May 1995,issue.php?ID=59320,Gary FrankDaniel 'Dan' Green,US $ 1.50,Vengeance of the Phoenix!,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Beyonder (Marvel) Ch'od (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Corsair (Marvel) Cr'reee Jessica Drew (Marvel) Hepzibah (Marvel) Jahf Lilandra (Marvel) Magneto (Marvel) 
 
 Lindsay McCabe Ms. Marvel (Marvel)(01 - Carol Danvers) Phoenix (Marvel)(03 - Rachel Summers) Professor X (Marvel) Raza (Marvel)(01 - Raza Longknife) Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Storm (Marvel)(01 - Ororo Munroe) Uatu the Watcher (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,106,X-Men... I've gone to kill -- the Beyonder!,,April 1995,issue.php?ID=59319,Gary FrankCam Smith,US $ 1.50,None.,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Beyonder (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Colossus (Marvel)(Days of Future Past) Magneto (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) Nimrod (Marvel)(02 - Sentinel) Phoenix (Marvel)(03 - Rachel Summers) Franklin Benjamin 'Scrapper' Richards (Marvel)(Days of Future Past) 
 
 Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Shadowcat (Marvel)(Days of Future Past) Storm (Marvel)(01 - Ororo Munroe) Storm (Marvel)(Days of Future Past) Wolverine (Marvel)(01 - James 'Logan' Howlett) Wolverine (Marvel)(Days of Future Past)",x_men_1990
0,105,Duel,,March 1995,issue.php?ID=59318,Mark FarmerGary Frank,US $ 1.50,Storm vs. Cyclops! -- Duel,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Binary (Marvel) Cannonball (Marvel) Ch'od (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Corsair (Marvel) Cr'reee Cyclops (Marvel)(03 - Scott Summers) Cypher (Marvel)(01 - Doug Ramsey) Sharon Friedlander Elaine Grey (Marvel) John Grey (Marvel) Hepzibah (Marvel) Karma (Marvel) Lilandra (Marvel) Magik (Marvel)(01 - Illyana Rasputin) Magma (Marvel)(02 - Amara Aquilla) Magneto (Marvel) Mirage (Marvel)(02 - Danielle Moonstar) 
 
 Nightcrawler (Marvel)(01 - Kurt Wagner) Phoenix (Marvel)(03 - Rachel Summers) Professor X (Marvel) Madelyne 'Maddie' Pryor (01 - Jean Grey clone) Raza (Marvel)(01 - Raza Longknife) Ronald Wilson Reagan Donald Regan Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Storm (Marvel)(01 - Ororo Munroe) Nathan Christopher Charles Summers Sunspot (Marvel) Uatu the Watcher (Marvel) Waldo (Marvel) Warlock (Marvel) Wolfsbane (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,104,The Trial of Magneto!,,February 1995,issue.php?ID=59317,Brian Stelfreeze,US $ 1.95,None.,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Alpha the Ultimate Mutant (Marvel) Angel (Marvel)(03 - Warren Worthington III) Avalanche (Marvel)(01 - Dominic Szilard) Beast (Marvel)(Henry McCoy) Binary (Marvel) Blob (Marvel) Brightwind Cannonball (Marvel) Ch'od (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Neal Conan Dr. Valerie Cooper (Marvel) Corsair (Marvel) Cr'reee Cyclops (Marvel)(03 - Scott Summers) Cypher (Marvel)(01 - Doug Ramsey) Destiny (Marvel) (03 - Irene Adler) Chief Justice Michelle Devereux Bob Edwards Fenris (Andrea Strucker) Fenris (Andreas Strucker) Gabrielle Haller (Marvel) Hepzibah (Marvel) Iceman (Marvel) Sir James Jaspers (Marvel)(Earth-238) 
 
 Karma (Marvel) Lilandra (Marvel) Magik (Marvel)(01 - Illyana Rasputin) Magma (Marvel)(02 - Amara Aquilla) Magneto (Marvel) Marvel Girl (Marvel)(01 - Jean Grey) Mirage (Marvel)(02 - Danielle Moonstar) Mystique (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) Phoenix (Marvel)(03 - Rachel Summers) Professor X (Marvel) Madelyne 'Maddie' Pryor (01 - Jean Grey clone) Pyro (Marvel)(01 - St. John Allerdyce) Raza (Marvel)(01 - Raza Longknife) Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Sikorsky Spiral (Marvel) Storm (Marvel)(01 - Ororo Munroe) Sunspot (Marvel) Admiral Gregori Mihailovitch Suvorov Waldo (Marvel) Warlock (Marvel) Wolfsbane (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,103,The Spiral Path,,January 1995,issue.php?ID=59316,Brian Stelfreeze,US $ 1.50,Reflections,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Avalanche (Marvel)(01 - Dominic Szilard) Blob (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Dr. Valerie Cooper (Marvel) Cyclops (Marvel)(03 - Scott Summers) Destiny (Marvel) (03 - Irene Adler) Elaine Grey (Marvel) John Grey (Marvel) Moira MacTaggert (Marvel) Magneto (Marvel) 
 
 Mystique (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) Phoenix (Marvel)(03 - Rachel Summers) Professor X (Marvel) Pyro (Marvel)(01 - St. John Allerdyce) Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Spiral (Marvel) Storm (Marvel)(01 - Ororo Munroe) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,102,Lifedeath: From the Hear of Darkness,,December 1994,issue.php?ID=59315,Brian Stelfreeze,US $ 1.50,LifeDeath II,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,Storm (Marvel)(01 - Ororo Munroe),x_men_1990
0,101,To Save Arcade?!?,,November 1994,issue.php?ID=59314,Hilary BartaTom Grummett,US $ 1.50,Colossus Versus Dr. Doom! (Need We Say More?),Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Arcade (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Cyclops (Marvel)(03 - Scott Summers) Miss Locke (Marvel)(01 - original) Nimrod (Marvel)(02 - Sentinel) 
 
 Madelyne 'Maddie' Pryor (01 - Jean Grey clone) Jaime Rodriguez Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Storm (Marvel)(01 - Ororo Munroe)",x_men_1990
