,series,right,title,cover,metadata
0,X-Men,(February 2017),Extraordinary X-Men #17 [Variant Cover - Jorge Molina],./covers/Extraordinary X-Men #17 [Variant Cover - Jorge Molina].jpg,"{'pencils': 'Jorge Molina', 'inks': 'Jorge Molina', 'colors': 'Jorge Molina', 'letters': 'typeset', 'genre': 'superhero'}"
0,X-Men,(June 2011),X-Men: Legacy #247 [Thor Goes Hollywood Variant Edition],./covers/X-Men: Legacy #247 [Thor Goes Hollywood Variant Edition].jpg,"{'pencils': 'Mico Suayan', 'inks': 'Mico Suayan', 'colors': 'Marte Gracia', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Basilisk [Cyclops]; Beast; Cannonball; Colossus; Gambit; Legacy [Rogue]; Legion; Magneto; Professor X; Revanant [Rachel Grey]; Wolverine'}"
0,X-Men,(June 2012),Astonishing X-Men #49 [2nd Printing Cover Variant],./covers/Astonishing X-Men #49 [2nd Printing Cover Variant].jpg,"{'pencils': 'Dustin Weaver', 'inks': 'Dustin Weaver', 'colors': 'Rachelle Rosenberg', 'genre': 'superhero', 'characters': 'Northstar; Iceman; Chimera'}"
0,X-Men,(November 2000),Black Sun: X-Men #1 [Dynamic Forces Cover],./covers/Black Sun: X-Men #1 [Dynamic Forces Cover].jpg,"{'pencils': 'Jae Lee', 'inks': 'Jae Lee', 'colors': 'JosÃ© Villarrubia', 'genre': 'superhero', 'characters': 'X-Men [Wolverine; Storm; Colossus; Thunderbird [John Proudstar]; Banshee; Nightcrawler; Sunfire]'}"
0,X-Men,(2008),Marvel Premiere Classic #16 - X-Men: Magik - Storm & Illyana [direct market variant],nan,"{'pencils': 'John Buscema', 'inks': 'Tom Palmer', 'colors': '?', 'genre': 'superhero', 'characters': 'Magik [Illyana Rasputin]; Belasco; Storm; Cat [Kitty Pryde]; Nightcrawler', 'reprints': 'from  Magik (Marvel, 1983 series) #1 [Direct] (December 1983)'}"
0,X-Men,(May 2008),X-Men: First Class #10 [Newsstand Edition],./covers/X-Men: First Class #10 [Newsstand Edition].jpg,"{'pencils': 'John Romita Jr.', 'inks': 'Klaus Janson', 'colors': 'Dean White', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Cyclops'}"
0,Fantastic Four vs. X-Men,(February 1987),Fantastic Four vs. X-Men #1 [Direct Edition],./covers/Fantastic Four vs. X-Men #1 [Direct Edition].jpg,"{'pencils': 'Jon Bogdanove (signed)', 'inks': 'Terry Austin (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Mister Fantastic (as Doctor Doom); Invisible Woman; Franklin Richards; Wolverine', 'reprints': 'in  Marvel Premiere Classic (Marvel, 2006 series) #35 - X-Men vs. Fantastic Four [direct market variant] (2010)  in  X-Men (SatellitFörlaget, 1990 series) #9/1990'}"
0,Fantastic Four vs. X-Men,(March 1987),Fantastic Four vs. X-Men #2 [Direct Edition],./covers/Fantastic Four vs. X-Men #2 [Direct Edition].jpg,"{'pencils': 'Jon Bogdanove (signed)', 'inks': 'Terry Austin (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Mr. Fantastic; Invisible Woman; Franklin Richards; Wolverine; Doctor Doom', 'reprints': 'in  Un Récit Complet Marvel (Editions Lug, 1984 series) #20 (1988)which is reprinted  in  Strange Spécial Origines (Editions Lug, 1981 series) #226 (5 octobre 1988)  in  X-Men vs. Fantastic Four (Marvel, 2010 series)  [premiere edition] (2010)  in  X-Men (SatellitFörlaget, 1990 series) #10/1990'}"
0,X-Men;  Avengers,(April 1987),The X-Men vs. The Avengers #1 [Direct Edition],./covers/The X-Men vs. The Avengers #1 [Direct Edition].jpg,"{'pencils': 'Marc Silvestri', 'inks': 'Joe Rubinstein', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Avengers [Captain America [Steve Rogers]; She-Hulk; Black Knight [Dane Whitman]]; Magneto; X-Men [Wolverine; Rogue]; Crimson Dynamo [Dmitri Bukharin]', 'reprints': 'in  Un Récit Complet Marvel (Editions Lug, 1984 series) #18 (1988)  in  Marvel Premiere Classic (Marvel, 2006 series) #36 - X-Men vs. Avengers [direct market variant] (2010)  in  Marvel Héroes (Planeta DeAgostini, 1986 series) #7 (Julio 1987)'}"
0,X-Men;  Avengers,(May 1987),The X-Men vs. The Avengers #2 [Direct Edition],./covers/The X-Men vs. The Avengers #2 [Direct Edition].jpg,"{'pencils': 'Marc Silvestri', 'inks': 'Joe Rubinstein', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Magneto; X-Men [Storm; Wolverine]; Avengers [Captain America [Steve Rogers]; She-Hulk]', 'reprints': 'in  Marvel Héroes (Planeta DeAgostini, 1986 series) #8 (Agosto 1987)'}"
